time_signature, track_popularity, speechiness, danceability, playlist_name          , track_artist                                                                                                                                                                                                                                        , duration_ms, energy  , playlist_genre, playlist_subgenre, track_href                                              , track_name                                                                                        , mode, uri                                 , type          , track_album_release_date, analysis_url                                                    , id                    , instrumentalness, track_album_id        , playlist_id           , track_id              , valence, key , tempo  , loudness, acousticness, liveness, track_album_name                                                                       , popularity_category
           4.0,               64,      0.101 ,       0.443 , Jazz Classics          , "Ella Fitzgerald, Louis Armstrong"                                                                                                                                                                                                                  ,    185160.0, 0.104   , jazz          , classic          , https://api.spotify.com/v1/tracks/78MI7mu1LV1k4IA2HzKmHe, Dream A Little Dream Of Me - Single Version                                                       ,  1.0, spotify:track:78MI7mu1LV1k4IA2HzKmHe, audio_features, 2007-05-03              , https://api.spotify.com/v1/audio-analysis/78MI7mu1LV1k4IA2HzKmHe, 78MI7mu1LV1k4IA2HzKmHe, 0.0             , 1y5KGkUKO0NG32MhIIagCA, 37i9dQZF1DXbITWG1ZJKYt, 78MI7mu1LV1k4IA2HzKmHe,  0.394 ,  0.0,  76.474, -17.042 , 0.913       ,   0.191 , "Love, Ella"                                                                           , LOWEST POPULARITY
           4.0,               62,      0.0298,       0.685 , Jazz Classics          , Galt MacDermot                                                                                                                                                                                                                                      ,    205720.0, 0.472   , jazz          , classic          , https://api.spotify.com/v1/tracks/6MN6yRVriszuyAVlyF8ndB, Coffee Cold                                                                                       ,  0.0, spotify:track:6MN6yRVriszuyAVlyF8ndB, audio_features, 2000-01-01              , https://api.spotify.com/v1/audio-analysis/6MN6yRVriszuyAVlyF8ndB, 6MN6yRVriszuyAVlyF8ndB, 0.284           , 6f4b9wVTkKAf096k4XG6x5, 37i9dQZF1DXbITWG1ZJKYt, 6MN6yRVriszuyAVlyF8ndB,  0.475 ,  9.0,  80.487, -9.691  , 0.785       ,   0.224 , Shapes of Rhythm/Woman Is Sweeter                                                      , LOWEST POPULARITY
           4.0,               61,      0.0566,       0.67  , Jazz Classics          , "Frank Sinatra, Count Basie"                                                                                                                                                                                                                        ,    147147.0, 0.365   , jazz          , classic          , https://api.spotify.com/v1/tracks/2dR5WkrpwylTuT3jRWNufa, Fly Me To The Moon                                                                                ,  1.0, spotify:track:2dR5WkrpwylTuT3jRWNufa, audio_features, 2015-04-17              , https://api.spotify.com/v1/audio-analysis/2dR5WkrpwylTuT3jRWNufa, 2dR5WkrpwylTuT3jRWNufa, 0.0             , 7gmak9ZGm10y4PtZa9SBQn, 37i9dQZF1DXbITWG1ZJKYt, 2dR5WkrpwylTuT3jRWNufa,  0.45  ,  0.0, 119.347, -10.158 , 0.525       ,   0.0575, Ultimate Sinatra                                                                       , LOWEST POPULARITY
           4.0,               60,      0.0914,       0.663 , Jazz Classics          , "Ella Fitzgerald, Louis Armstrong"                                                                                                                                                                                                                  ,    354533.0, 0.264   , jazz          , classic          , https://api.spotify.com/v1/tracks/33jt3kYWjQzqn3xyYQ5ZEh, Cheek To Cheek                                                                                    ,  1.0, spotify:track:33jt3kYWjQzqn3xyYQ5ZEh, audio_features, 1997-05-20              , https://api.spotify.com/v1/audio-analysis/33jt3kYWjQzqn3xyYQ5ZEh, 33jt3kYWjQzqn3xyYQ5ZEh, 0.0             , 2uqlkJu6vckJahCsp6Hfcn, 37i9dQZF1DXbITWG1ZJKYt, 33jt3kYWjQzqn3xyYQ5ZEh,  0.657 ,  0.0, 122.482, -14.571 , 0.706       ,   0.1   , The Complete Ella And Louis On Verve                                                   , LOWEST POPULARITY
           4.0,               60,      0.0446,       0.234 , Classical Essentials   , "Johann Sebastian Bach, Lang Lang"                                                                                                                                                                                                                  ,    139307.0, 0.126   , classical     , essential        , https://api.spotify.com/v1/tracks/4SFBV7SRNG2e2kyL1F6kjU, "The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",  1.0, spotify:track:4SFBV7SRNG2e2kyL1F6kjU, audio_features, 2019-03-29              , https://api.spotify.com/v1/audio-analysis/4SFBV7SRNG2e2kyL1F6kjU, 4SFBV7SRNG2e2kyL1F6kjU, 0.896           , 1XORY4rQNhqkZxTze6Px90, 37i9dQZF1DWWEJlAGA9gs0, 4SFBV7SRNG2e2kyL1F6kjU,  0.216 ,  0.0, 133.998, -25.427 , 0.989       ,   0.102 , Piano Book (Deluxe Edition)                                                            , LOWEST POPULARITY
           3.0,               63,      0.0446,       0.289 , Classical Essentials   , "Ludwig van Beethoven, Igor Levit"                                                                                                                                                                                                                  ,    212067.0, 0.0306  , classical     , essential        , https://api.spotify.com/v1/tracks/3zLTPuucd3e6TxZnu2dlVS, "Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise"""                                               ,  0.0, spotify:track:3zLTPuucd3e6TxZnu2dlVS, audio_features, 2015                    , https://api.spotify.com/v1/audio-analysis/3zLTPuucd3e6TxZnu2dlVS, 3zLTPuucd3e6TxZnu2dlVS, 0.911           , 230jpjk9w7MGupNMMvXoaN, 37i9dQZF1DWWEJlAGA9gs0, 3zLTPuucd3e6TxZnu2dlVS,  0.118 ,  9.0, 125.61 , -30.79  , 0.987       ,   0.102 , "Für Elise, Bagatelle No. 25 in A Minor, WoO 59"                                       , LOWEST POPULARITY
           3.0,               65,      0.0442,       0.169 , Classical Essentials   , "Camille Saint-Saëns, Yo-Yo Ma, Kathryn Stott"                                                                                                                                                                                                      ,    174267.0, 0.0161  , classical     , essential        , https://api.spotify.com/v1/tracks/0jOnZhF75V68VsBObWx2XO, "The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)"                  ,  0.0, spotify:track:0jOnZhF75V68VsBObWx2XO, audio_features, 2015-09-18              , https://api.spotify.com/v1/audio-analysis/0jOnZhF75V68VsBObWx2XO, 0jOnZhF75V68VsBObWx2XO, 0.86            , 2y85NsbsBnGTXcXgHpj3PD, 37i9dQZF1DWWEJlAGA9gs0, 0jOnZhF75V68VsBObWx2XO,  0.0573,  9.0, 128.143, -31.034 , 0.986       ,   0.0805, Songs from the Arc of Life                                                             , LOWEST POPULARITY
           3.0,               63,      0.0606,       0.0939, Classical Essentials   , "George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields"                                                                                                                                                                     ,    207267.0, 0.0336  , classical     , essential        , https://api.spotify.com/v1/tracks/1upQiytDIEZfl9ItruoXuC, "Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande"                   ,  0.0, spotify:track:1upQiytDIEZfl9ItruoXuC, audio_features, 2002                    , https://api.spotify.com/v1/audio-analysis/1upQiytDIEZfl9ItruoXuC, 1upQiytDIEZfl9ItruoXuC, 0.83            , 657D9POYWMrDMK9MWNxPHL, 37i9dQZF1DWWEJlAGA9gs0, 1upQiytDIEZfl9ItruoXuC,  0.0516,  2.0,  67.359, -24.041 , 0.927       ,   0.0954, Handel Sarabande                                                                       , LOWEST POPULARITY
           5.0,               65,      0.0455,       0.32  , Classical Essentials   , "Claude Debussy, Alice Sara Ott"                                                                                                                                                                                                                    ,    294960.0, 0.00501 , classical     , essential        , https://api.spotify.com/v1/tracks/1cmigB9I6IRpFqjIbzvSQB, "Suite bergamasque, L. 75: III. Clair de lune"                                                    ,  1.0, spotify:track:1cmigB9I6IRpFqjIbzvSQB, audio_features, 2018-07-27              , https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB, 1cmigB9I6IRpFqjIbzvSQB, 0.919           , 4Ll3RGpn0eVY6MMKPTP99C, 37i9dQZF1DWWEJlAGA9gs0, 1cmigB9I6IRpFqjIbzvSQB,  0.0383,  1.0,  68.947, -33.366 , 0.993       ,   0.0618, "Debussy: Suite bergamasque, L. 75, 3. Clair de lune"                                  , LOWEST POPULARITY
           4.0,               62,      0.0576,       0.376 , Classical Essentials   , "Erik Satie, Alena Cherny"                                                                                                                                                                                                                          ,    296480.0, 0.00579 , classical     , essential        , https://api.spotify.com/v1/tracks/5fdp9rXfEixCGLM1Og4EN1, Gnossienne No. 1                                                                                  ,  0.0, spotify:track:5fdp9rXfEixCGLM1Og4EN1, audio_features, 2013                    , https://api.spotify.com/v1/audio-analysis/5fdp9rXfEixCGLM1Og4EN1, 5fdp9rXfEixCGLM1Og4EN1, 0.944           , 4ZWDD7tNRRMB2eO4B5LsJh, 37i9dQZF1DWWEJlAGA9gs0, 5fdp9rXfEixCGLM1Og4EN1,  0.0369,  5.0,  71.827, -31.615 , 0.996       ,   0.0882, Gnossienne No. 1                                                                       , LOWEST POPULARITY
